date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-10-17,29.4,29.5,29.0,28.18,668764.06,-0.1,-0.34,28.89,29.4,28.998,574647.76,526664.97,465735.78
2018-10-16,28.82,29.8,29.1,28.74,577691.94,0.36,1.25,29.01,29.545,28.918,518895.7,534720.37,449032.24
2018-10-15,29.16,29.18,28.74,28.55,349998.84,-0.42,-1.44,29.07,29.597,28.858,487655.97,529689.36,433336.88
2018-10-12,28.7,29.37,29.16,28.46,661307.0,0.71,2.5,29.208,29.753,28.829,542322.97,572526.77,435696.73
2018-10-11,28.66,29.07,28.45,28.11,615476.94,-1.15,-3.88,29.514,29.688,28.746,521263.19,535054.34,414927.35
2018-10-10,29.35,29.89,29.6,29.15,390003.78,0.2,0.68,29.91,29.683,28.708,478682.19,516780.14,402123.66
2018-10-09,29.33,29.69,29.4,29.0,421493.31,-0.03,-0.1,30.08,29.541,28.66,550545.04,517716.99,399034.65
2018-10-08,29.7,30.09,29.43,29.36,623333.81,-1.26,-4.11,30.124,29.346,28.597,571722.75,491787.88,390995.03
2018-09-28,30.67,31.11,30.69,30.3,556008.12,0.26,0.85,30.298,29.191,28.54,602730.58,447000.5,382872.41
2018-09-27,30.26,30.69,30.43,30.01,402571.94,-0.02,-0.07,29.862,28.898,28.413,548845.5,422076.17,368700.68
2018-09-26,29.75,30.99,30.45,29.41,749318.0,0.83,2.8,29.456,28.595,28.329,554878.08,404806.58,361620.55
2018-09-25,29.83,30.09,29.62,29.32,527381.88,-0.68,-2.24,29.002,28.29,28.238,484888.94,363344.12,342576.83
2018-09-21,28.7,30.3,30.3,28.45,778372.94,1.79,6.28,28.568,28.118,28.184,411853.0,336984.4,341748.11
2018-09-20,28.58,28.85,28.51,28.37,286582.72,0.11,0.39,28.084,27.905,28.054,291270.42,298866.69,326842.95
2018-09-19,28.16,28.65,28.4,27.96,432734.88,0.22,0.78,27.934,27.804,27.993,295306.84,294800.35,328579.81
2018-09-18,27.45,28.25,28.18,27.38,399372.28,0.73,2.66,27.734,27.733,27.925,254735.08,287467.18,317077.13
2018-09-17,27.73,27.8,27.45,27.37,162202.19,-0.43,-1.54,27.578,27.779,27.871,241799.29,280352.3,315603.83
2018-09-14,27.99,27.99,27.88,27.68,175460.05,0.12,0.43,27.668,27.848,27.847,262115.8,290202.19,325971.25
2018-09-13,27.94,28.02,27.76,27.29,306764.78,0.36,1.31,27.726,27.889,27.779,306462.96,318744.33,330166.41
2018-09-12,27.22,27.6,27.4,27.01,229876.12,0.0,0.0,27.674,27.927,27.731,294293.87,315325.19,334013.3
2018-09-11,27.95,28.1,27.4,27.14,334693.31,-0.5,-1.79,27.732,28.063,27.696,320199.27,318434.51,341741.14
2018-09-10,27.96,28.3,27.9,27.78,263784.72,-0.27,-0.96,27.98,28.185,27.701,318905.32,321809.54,338302.35
2018-09-07,27.65,28.2,28.17,27.6,397195.88,0.67,2.44,28.028,28.249,27.69,318288.58,346511.82,348493.12
2018-09-06,27.7,27.85,27.5,27.43,245919.31,-0.19,-0.69,28.052,28.202,27.704,331025.7,354819.21,342205.61
2018-09-05,28.35,28.48,27.69,27.68,359403.12,-0.95,-3.32,28.18,28.182,27.769,336356.5,362359.27,350105.7
2018-09-04,28.18,28.75,28.64,27.93,328223.56,0.5,1.78,28.394,28.117,27.79,316669.76,346687.09,346257.62
2018-09-03,28.32,28.44,28.14,27.96,260701.02,-0.15,-0.53,28.39,27.963,27.783,324713.76,350855.37,355544.44
2018-08-31,28.01,28.75,28.29,27.98,460881.47,0.15,0.53,28.47,27.845,27.754,374735.07,361740.32,361807.59
2018-08-30,28.73,28.87,28.14,28.08,272573.34,-0.62,-2.16,28.352,27.669,27.701,378612.72,341588.5,353669.34
2018-08-29,28.63,29.0,28.76,28.45,260969.41,0.14,0.49,28.184,27.534,27.65,388362.03,352701.41,368636.87
2018-08-28,28.57,29.01,28.62,28.54,368443.56,0.08,0.28,27.84,27.328,27.605,376704.43,365047.78,382431.7
2018-08-27,28.05,28.61,28.54,27.85,510807.56,0.84,3.03,27.536,27.216,27.593,376996.97,354795.15,381423.41
2018-08-24,27.15,28.3,27.7,26.96,480269.75,0.4,1.47,27.22,27.131,27.599,348745.57,350474.42,375052.6
2018-08-23,27.14,27.45,27.3,26.82,321319.88,0.26,0.96,26.986,27.205,27.618,304564.27,329592.01,366460.61
2018-08-22,27.19,27.2,27.04,26.82,202681.38,-0.06,-0.22,26.884,27.355,27.659,317040.79,337852.14,373327.48
2018-08-21,27.04,27.42,27.1,26.89,369906.28,0.14,0.52,26.816,27.463,27.717,353391.12,345828.14,384704.25
2018-08-20,26.99,27.11,26.96,26.42,369550.56,0.44,1.66,26.896,27.602,27.75,332593.34,360233.52,400935.89
2018-08-17,27.1,27.2,26.53,26.44,259363.25,-0.21,-0.79,27.042,27.663,27.795,352203.26,361874.87,428663.8
2018-08-16,26.29,27.14,26.79,26.2,383702.47,0.09,0.34,27.424,27.732,27.839,354619.74,365750.19,466240.25
2018-08-15,27.51,27.53,26.7,26.57,384433.06,-0.81,-2.94,27.826,27.766,27.78,358663.49,384572.33,466819.46
2018-08-14,27.66,27.79,27.5,27.24,265917.34,-0.21,-0.76,28.11,27.881,27.709,338265.16,399815.63,464215.57
2018-08-13,28.12,28.12,27.69,27.25,467600.19,-0.75,-2.64,28.308,27.97,27.603,387873.7,408051.67,465388.16
2018-08-10,28.81,28.85,28.44,28.13,271445.66,-0.33,-1.15,28.284,28.066,27.503,371546.47,399630.78,459974.24
2018-08-09,27.94,28.96,28.8,27.9,403921.19,0.69,2.46,28.04,28.031,27.392,376880.63,403329.22,458755.01
2018-08-08,28.6,28.6,28.12,28.01,282441.44,-0.36,-1.26,27.706,27.963,27.255,410481.16,408802.82,462030.28
2018-08-07,27.59,28.5,28.49,27.49,513960.0,0.9,3.26,27.652,27.971,27.178,461366.1,423580.36,463743.84
2018-08-06,27.38,28.09,27.57,27.2,385964.06,0.33,1.21,27.632,27.897,27.094,428229.65,441638.26,454387.93
2018-08-03,27.33,27.74,27.22,27.18,298116.44,0.04,0.15,27.848,27.927,27.063,427715.09,495452.73,461442.64
2018-08-02,27.8,28.1,27.13,27.0,571923.88,-0.74,-2.65,28.022,27.945,26.994,429777.81,566730.32,468599.76
2018-08-01,28.69,29.09,27.85,27.85,536866.12,-0.54,-1.9,28.22,27.793,26.909,407124.48,549066.6,464799.82
2018-07-31,28.6,28.73,28.39,27.95,348277.75,-0.22,-0.77,28.29,27.537,26.771,385794.62,528615.51,456438.99
2018-07-30,28.09,28.85,28.65,27.9,383391.28,0.56,1.99,28.162,27.236,26.612,455046.86,522724.64,471954.3
