date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-10-15,2443.73,2448.26,2412.48,2407.55,205432.16,-31.65,-1.29,2446.566,2503.233,2473.67,257129.91,272031.99,246572.63
2018-10-12,2398.18,2452.69,2444.13,2390.99,290005.34,53.63,2.24,2461.434,2519.345,2474.93,283458.98,293242.05,245481.44
2018-10-11,2412.22,2446.37,2390.5,2369.03,369314.88,-103.56,-4.15,2493.942,2523.674,2473.525,283018.6,287189.96,241418.13
2018-10-10,2495.86,2518.61,2494.06,2472.19,204210.95,2.4,0.1,2530.932,2533.332,2476.062,255062.24,279232.32,233610.61
2018-10-09,2481.59,2506.27,2491.66,2476.35,216686.2,4.84,0.2,2548.674,2529.803,2476.381,281628.73,281703.16,233696.96
2018-10-08,2544.49,2548.89,2486.82,2481.18,337077.53,-119.85,-4.6,2559.9,2520.625,2475.092,286934.07,273718.84,232015.98
2018-09-28,2580.66,2618.83,2606.67,2577.98,287803.44,31.22,1.21,2577.256,2514.485,2474.475,303025.12,256402.97,228272.99
2018-09-27,2582.12,2584.07,2575.45,2561.58,229533.09,-7.32,-0.28,2553.406,2495.349,2468.102,291361.31,249094.61,222999.6
2018-09-26,2555.92,2610.59,2582.77,2553.17,337043.38,34.98,1.37,2535.732,2475.943,2464.503,303402.39,242986.55,220614.93
2018-09-25,2545.21,2560.72,2547.79,2536.43,243212.91,-25.81,-1.0,2510.932,2457.543,2460.922,281777.6,227393.31,214463.58
2018-09-21,2495.74,2573.6,2573.6,2485.41,417532.78,86.18,3.46,2481.35,2444.107,2459.65,260503.6,221113.28,216495.47
2018-09-20,2492.4,2503.1,2487.42,2480.54,229484.41,0.34,0.01,2451.714,2430.515,2454.57,209780.81,197720.83,205999.14
2018-09-19,2455.44,2505.0,2487.08,2452.58,289738.47,28.31,1.15,2437.292,2423.376,2453.252,206827.91,195646.3,203953.13
2018-09-18,2391.95,2459.77,2458.77,2391.73,228919.42,58.89,2.45,2416.154,2418.791,2451.406,182570.71,187988.9,197492.67
2018-09-17,2411.38,2418.14,2399.88,2397.94,136842.94,-25.54,-1.05,2404.154,2422.958,2451.086,173009.03,185690.76,198226.17
2018-09-14,2421.66,2434.67,2425.42,2410.66,163918.83,10.11,0.42,2406.864,2429.558,2451.549,181722.95,190313.12,202884.67
2018-09-13,2413.41,2420.0,2415.31,2381.03,214719.91,33.92,1.42,2409.316,2434.464,2448.986,185660.85,200143.02,205003.65
2018-09-12,2389.28,2398.73,2381.39,2373.04,168452.45,-17.38,-0.72,2409.46,2440.854,2448.479,184464.69,196904.58,207017.01
2018-09-11,2412.18,2422.94,2398.77,2387.64,181111.02,-14.66,-0.61,2421.428,2453.063,2449.845,193407.09,198243.31,208472.48
2018-09-10,2431.18,2440.11,2413.43,2410.79,180412.56,-24.25,-0.99,2441.762,2464.301,2453.367,198372.49,201533.84,207952.89
